aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,delivery_cost,merchant_deep_link,language,last_updated,display_price,data_feed_id,brand_name,brand_id,colour,product_short_description,specifications,condition,product_model,model_number,dimensions,keywords,promotional_text,product_type,commission_group,merchant_product_category_path,merchant_product_second_category,merchant_product_third_category,rrp_price,saving,savings_percent,base_price,base_price_amount,base_price_text,product_price_old,delivery_restrictions,delivery_weight,warranty,terms_of_contract,delivery_time,in_stock,stock_quantity,valid_from,valid_to,is_for_sale,web_offer,pre_order,stock_status,size_stock_status,size_stock_amount,merchant_thumb_url,large_image,alternate_image,aw_thumb_url,alternate_image_two,alternate_image_three,alternate_image_four,reviews,average_rating,rating,number_available,ean,isbn,upc,mpn,parent_product_id,product_GTIN,basket_link
https://www.awin1.com/pclick.php?p=38885086746&a=2729530&m=13075,Cenicero Real Madrid C.F. Mediano 100% Blanco.,38885086746,001003910324916,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202107/29/00103910324916____1__640x640.jpg,Consigue este cenicero del Real Madrid C.F. mediano 100% Blanco.,Arte y ocio > Fiestas y celebraciones > Regalos,12.0,El Corte Ingles ES,13075,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F202107%2F29%2F00103910324916____1__640x640.jpg&feedId=33801&k=56eb9f03b7bf892a5a1ab26258ffdc8b959c1111,EUR,,5.9 EUR,https://www.elcorteingles.es/regalos-originales/A25767311-cenicero-real-madrid-cf-mediano-100-blanco/,,,EUR12.0,33801,Real Madrid C.F.,,,,,NEW,,,,,,Regalos originales > Fútbol,,,,,,,,,,,12.0 EUR,Disponible en 48 horas laborales,,,,,1,,,,1,,,In stock,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F202107%2F29%2F00103910324916____1__640x640.jpg&feedId=33801&k=56eb9f03b7bf892a5a1ab26258ffdc8b959c1111,,,,,,,,,,,,,8436044816864,
https://www.awin1.com/pclick.php?p=36544241100&a=2729530&m=13075,Bandera de España 150x90.,36544241100,001003940115292,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201805/30/00103954001461____1__1200x1200.jpg,"Bandera de España con escudo constitucional. Fabricada en nylon, tiene un dobladillo para colocar en un mástil.",Arte y ocio > Fiestas y celebraciones > Regalos,4.95,El Corte Ingles ES,13075,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F201805%2F30%2F00103954001461____1__1200x1200.jpg&feedId=33801&k=c23e8bbb776f9c49580a3e53e1bd2b825b40747b,EUR,,5.9 EUR,https://www.elcorteingles.es/regalos-originales/A26193650-bandera-de-espana-150x90/,,,EUR4.95,33801,España,,,,,NEW,,,,,,Regalos originales > Fútbol,,,,,,,,,,,4.95 EUR,Disponible en 48 horas laborales,,,,,1,,,,1,,,In stock,,,,,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201805/30/00103954001461____1__1200x1200.jpg,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F201805%2F30%2F00103954001461____1__1200x1200.jpg&feedId=33801&k=c23e8bbb776f9c49580a3e53e1bd2b825b40747b,,,,,,,,,,,,,8435207423666,
https://www.awin1.com/pclick.php?p=41060082977&a=2729530&m=13075,Calcetines Pepe Pinreles Nazarenos Macarena Marino.,41060082977,001003980310670,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202003/31/00103980310670____1__640x640.jpg,"Calcetines de algodón de los Nazarenos de la Hermandad de la Esperanza Macarena de Sevilla. Composición: 80% Algodón, 17% Poliamida, 3% Elastano.",Arte y ocio > Fiestas y celebraciones > Regalos,7.25,El Corte Ingles ES,13075,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F202003%2F31%2F00103980310670____1__640x640.jpg&feedId=33801&k=a74f582634c965769a8f7121e95ad475600d16af,EUR,,5.9 EUR,https://www.elcorteingles.es/regalos-originales/A35193637-calcetines-pepe-pinreles-nazarenos-macarena-marino/,,,EUR7.25,33801,Pepe Pinreles,,,,,NEW,,,,,,Regalos originales > Moda y complementos > Complementos,,,,,,,,,,,9.69 EUR,Disponible en 10 dias laborables (excepto Canarias),,,,,1,,,,1,,,In stock,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F202003%2F31%2F00103980310670____1__640x640.jpg&feedId=33801&k=a74f582634c965769a8f7121e95ad475600d16af,,,,,,,,,,,,,8436588344007,
https://www.awin1.com/pclick.php?p=41060082978&a=2729530&m=13075,Calcetines Pepe Pinreles Nazarenos Macarena Marino.,41060082978,001003980310688,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202003/31/00103980310670____1__640x640.jpg,"Calcetines de algodón de los Nazarenos de la Hermandad de la Esperanza Macarena de Sevilla. Composición: 80% Algodón, 17% Poliamida, 3% Elastano.",Arte y ocio > Fiestas y celebraciones > Regalos,7.25,El Corte Ingles ES,13075,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F202003%2F31%2F00103980310670____1__640x640.jpg&feedId=33801&k=a74f582634c965769a8f7121e95ad475600d16af,EUR,,5.9 EUR,https://www.elcorteingles.es/regalos-originales/A35193637-calcetines-pepe-pinreles-nazarenos-macarena-marino/,,,EUR7.25,33801,Pepe Pinreles,,,,,NEW,,,,,,Regalos originales > Moda y complementos > Complementos,,,,,,,,,,,9.69 EUR,Disponible en 10 dias laborables (excepto Canarias),,,,,1,,,,1,,,In stock,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F202003%2F31%2F00103980310670____1__640x640.jpg&feedId=33801&k=a74f582634c965769a8f7121e95ad475600d16af,,,,,,,,,,,,,8436588344014,
https://www.awin1.com/pclick.php?p=40190287982&a=2729530&m=13075,Calcetines Pepe Pinreles Armaos Macarena Marino.,40190287982,001003980310696,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202003/31/00103980310696____1__640x640.jpg,"Calcetines de algodón de los Armaos de la Macarena, uno de los iconos de la Semana Santa de Sevilla. Composición: 80% Algodón, 17% Poliamida, 3% Elastano.",Arte y ocio > Fiestas y celebraciones > Regalos,7.25,El Corte Ingles ES,13075,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F202003%2F31%2F00103980310696____1__640x640.jpg&feedId=33801&k=6b000b35555f4be07b581ead4bac781cc545ab22,EUR,,5.9 EUR,https://www.elcorteingles.es/regalos-originales/A35193639-calcetines-pepe-pinreles-armaos-macarena-marino/,,,EUR7.25,33801,Pepe Pinreles,,,,,NEW,,,,,,Regalos originales > Moda y complementos > Complementos,,,,,,,,,,,9.69 EUR,Disponible en 10 dias laborables (excepto Canarias),,,,,1,,,,1,,,In stock,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F202003%2F31%2F00103980310696____1__640x640.jpg&feedId=33801&k=6b000b35555f4be07b581ead4bac781cc545ab22,,,,,,,,,,,,,8436588344052,
https://www.awin1.com/pclick.php?p=40033345245&a=2729530&m=13075,Calcetines Pepe Pinreles Armaos Macarena Marino.,40033345245,001003980310704,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202003/31/00103980310696____1__640x640.jpg,"Calcetines de algodón de los Armaos de la Macarena, uno de los iconos de la Semana Santa de Sevilla. Composición: 80% Algodón, 17% Poliamida, 3% Elastano.",Arte y ocio > Fiestas y celebraciones > Regalos,7.25,El Corte Ingles ES,13075,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F202003%2F31%2F00103980310696____1__640x640.jpg&feedId=33801&k=6b000b35555f4be07b581ead4bac781cc545ab22,EUR,,5.9 EUR,https://www.elcorteingles.es/regalos-originales/A35193639-calcetines-pepe-pinreles-armaos-macarena-marino/,,,EUR7.25,33801,Pepe Pinreles,,,,,NEW,,,,,,Regalos originales > Moda y complementos > Complementos,,,,,,,,,,,9.69 EUR,Disponible en 10 dias laborables (excepto Canarias),,,,,1,,,,1,,,In stock,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F202003%2F31%2F00103980310696____1__640x640.jpg&feedId=33801&k=6b000b35555f4be07b581ead4bac781cc545ab22,,,,,,,,,,,,,8436588344069,
https://www.awin1.com/pclick.php?p=36544241116&a=2729530&m=13075,Calcetines Pepe Pinreles Acólitos Gris.,36544241116,001003980310712,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202003/31/00103980310712____1__640x640.jpg,"Calcetines de algodón de los Acólitos que van acompañando al paso en Semana Santa. Composición: 80% Algodón, 17% Poliamida, 3% Elastano.",Arte y ocio > Fiestas y celebraciones > Regalos,7.25,El Corte Ingles ES,13075,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F202003%2F31%2F00103980310712____1__640x640.jpg&feedId=33801&k=778e6da27b24687ad9e18c30a3c94fa68f9fdcf1,EUR,,5.9 EUR,https://www.elcorteingles.es/regalos-originales/A35193658-calcetines-pepe-pinreles-acolitos-gris/,,,EUR7.25,33801,Pepe Pinreles,,,,,NEW,,,,,,Regalos originales > Moda y complementos > Complementos,,,,,,,,,,,9.69 EUR,Disponible en 10 dias laborables (excepto Canarias),,,,,1,,,,1,,,In stock,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F202003%2F31%2F00103980310712____1__640x640.jpg&feedId=33801&k=778e6da27b24687ad9e18c30a3c94fa68f9fdcf1,,,,,,,,,,,,,8436588344076,
https://www.awin1.com/pclick.php?p=36544241117&a=2729530&m=13075,Calcetines Pepe Pinreles Acólitos Gris.,36544241117,001003980310720,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202003/31/00103980310712____1__640x640.jpg,"Calcetines de algodón de los Acólitos que van acompañando al paso en Semana Santa. Composición: 80% Algodón, 17% Poliamida, 3% Elastano.",Arte y ocio > Fiestas y celebraciones > Regalos,7.25,El Corte Ingles ES,13075,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F202003%2F31%2F00103980310712____1__640x640.jpg&feedId=33801&k=778e6da27b24687ad9e18c30a3c94fa68f9fdcf1,EUR,,5.9 EUR,https://www.elcorteingles.es/regalos-originales/A35193658-calcetines-pepe-pinreles-acolitos-gris/,,,EUR7.25,33801,Pepe Pinreles,,,,,NEW,,,,,,Regalos originales > Moda y complementos > Complementos,,,,,,,,,,,9.69 EUR,Disponible en 10 dias laborables (excepto Canarias),,,,,1,,,,1,,,In stock,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F202003%2F31%2F00103980310712____1__640x640.jpg&feedId=33801&k=778e6da27b24687ad9e18c30a3c94fa68f9fdcf1,,,,,,,,,,,,,8436588344083,
https://www.awin1.com/pclick.php?p=36544241118&a=2729530&m=13075,Calcetines Pepe Pinreles Acólitos Pinrelitos Gris.,36544241118,001003980310738,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202003/31/00103980310738____1__640x640.jpg,"Calcetines de algodón de los Acólitos que van acompañando al paso en Semana Santa, para los más pequeños. Composición: 80% Algodón, 17% Poliamida, 3% Elastano. Tallas: S (21-25), M (26-30) y L (31-35).",Arte y ocio > Fiestas y celebraciones > Regalos,5.6,El Corte Ingles ES,13075,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F202003%2F31%2F00103980310738____1__640x640.jpg&feedId=33801&k=a5b72da0528b02fc72c00b443174635efe1a444a,EUR,,5.9 EUR,https://www.elcorteingles.es/regalos-originales/A35193662-calcetines-pepe-pinreles-acolitos-pinrelitos-gris/,,,EUR5.6,33801,Pepe Pinreles,,,,,NEW,,,,,,Regalos originales > Moda y complementos > Complementos,,,,,,,,,,,7.5 EUR,Disponible en 48 horas laborales,,,,,1,,,,1,,,In stock,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F202003%2F31%2F00103980310738____1__640x640.jpg&feedId=33801&k=a5b72da0528b02fc72c00b443174635efe1a444a,,,,,,,,,,,,,8436588344090,
https://www.awin1.com/pclick.php?p=41060082979&a=2729530&m=13075,Calcetines Pepe Pinreles Acólitos Pinrelitos Gris.,41060082979,001003980310746,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202003/31/00103980310738____1__640x640.jpg,"Calcetines de algodón de los Acólitos que van acompañando al paso en Semana Santa, para los más pequeños. Composición: 80% Algodón, 17% Poliamida, 3% Elastano. Tallas: S (21-25), M (26-30) y L (31-35).",Arte y ocio > Fiestas y celebraciones > Regalos,5.6,El Corte Ingles ES,13075,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F202003%2F31%2F00103980310738____1__640x640.jpg&feedId=33801&k=a5b72da0528b02fc72c00b443174635efe1a444a,EUR,,5.9 EUR,https://www.elcorteingles.es/regalos-originales/A35193662-calcetines-pepe-pinreles-acolitos-pinrelitos-gris/,,,EUR5.6,33801,Pepe Pinreles,,,,,NEW,,,,,,Regalos originales > Moda y complementos > Complementos,,,,,,,,,,,7.5 EUR,Disponible en 48 horas laborales,,,,,1,,,,1,,,In stock,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Asgfm.elcorteingles.es%2FSGFM%2Fdctm%2FMEDIA03%2F202003%2F31%2F00103980310738____1__640x640.jpg&feedId=33801&k=a5b72da0528b02fc72c00b443174635efe1a444a,,,,,,,,,,,,,8436588344106,
